batch_number,rows,simulated_outcome_noise_rate,accuracy,precision,recall,f1_score,roc_auc,actual_churn_rate,predicted_churn_rate,average_tenure,average_monthly_charges
1,353,0.0,0.7365439093484419,0.5140845070422535,0.7525773195876289,0.6108786610878661,0.8424210695876289,0.2747875354107649,0.40226628895184136,30.906515580736542,63.04320113314448
2,352,0.049999999999999996,0.7471590909090909,0.5630252100840336,0.6442307692307693,0.600896860986547,0.7977667493796525,0.29545454545454547,0.3380681818181818,33.06534090909091,62.97642045454545
3,352,0.09999999999999999,0.6875,0.4740740740740741,0.6213592233009708,0.5378151260504201,0.7536748937497562,0.29261363636363635,0.3835227272727273,31.349431818181817,64.16491477272727
4,352,0.15,0.6988636363636364,0.5704225352112676,0.6428571428571429,0.6044776119402985,0.7209228824273073,0.35795454545454547,0.4034090909090909,32.34375,66.17386363636363
